,open,close,close_open
255,2022-05-31 18:54:23,2022-05-31 19:52:17,0 days 00:57:54
256,2022-05-31 20:32:21,2022-05-31 22:28:44,0 days 01:56:23
257,2022-05-31 22:54:22,2022-06-01 00:43:45,0 days 01:49:23
258,2022-06-01 18:01:17,2022-06-02 00:29:31,0 days 06:28:14
259,2022-06-02 17:30:01,2022-06-02 20:19:56,0 days 02:49:55
260,2022-06-02 20:49:20,2022-06-03 00:54:25,0 days 04:05:05
261,2022-06-03 17:10:57,2022-06-03 23:24:22,0 days 06:13:25
262,2022-06-05 17:34:30,2022-06-06 01:12:13,0 days 07:37:43
263,2022-06-11 17:18:29,2022-06-12 00:07:15,0 days 06:48:46
264,2022-06-18 23:05:57,2022-06-18 23:54:53,0 days 00:48:56
265,2022-06-19 23:26:08,2022-06-20 01:13:39,0 days 01:47:31
266,2022-06-20 16:51:23,2022-06-21 01:11:56,0 days 08:20:33
267,2022-06-29 21:39:09,2022-06-30 01:08:50,0 days 03:29:41
268,2022-06-30 19:26:01,2022-07-01 01:20:59,0 days 05:54:58
269,2022-07-01 23:16:42,2022-07-01 23:49:18,0 days 00:32:36
270,2022-07-02 19:11:13,2022-07-02 22:10:10,0 days 02:58:57
271,2022-07-02 22:12:50,2022-07-03 01:16:53,0 days 03:04:03
272,2022-07-04 13:55:55,2022-07-04 14:09:29,0 days 00:13:34
273,2022-07-04 18:34:19,2022-07-05 01:11:12,0 days 06:36:53
274,2022-07-05 17:42:12,2022-07-05 18:52:28,0 days 01:10:16
275,2022-07-05 20:18:54,2022-07-05 20:42:22,0 days 00:23:28
276,2022-07-05 21:18:06,2022-07-06 00:53:13,0 days 03:35:07
277,2022-07-06 18:56:23,2022-07-06 23:24:51,0 days 04:28:28
278,2022-07-07 22:09:44,2022-07-08 00:15:23,0 days 02:05:39
279,2022-07-08 19:10:02,2022-07-09 01:27:13,0 days 06:17:11
280,2022-07-09 17:33:24,2022-07-10 00:36:18,0 days 07:02:54
281,2022-07-10 16:53:01,2022-07-10 17:39:49,0 days 00:46:48
282,2022-07-22 23:42:02,2022-07-23 01:14:38,0 days 01:32:36
283,2022-07-24 19:51:36,2022-07-24 20:28:05,0 days 00:36:29
284,2022-07-29 01:48:38,2022-07-29 11:59:47,0 days 10:11:09
285,2022-07-29 12:12:54,2022-07-29 12:14:07,0 days 00:01:13
286,2022-07-29 19:58:07,2022-07-30 01:56:52,0 days 05:58:45
287,2022-07-30 17:44:20,2022-07-31 01:24:10,0 days 07:39:50
288,2022-07-31 21:19:13,2022-08-01 01:50:55,0 days 04:31:42
289,2022-08-01 18:28:44,2022-08-01 22:22:55,0 days 03:54:11
290,2022-08-01 22:36:04,2022-08-02 00:45:00,0 days 02:08:56
291,2022-08-02 20:22:54,2022-08-02 20:55:16,0 days 00:32:22
292,2022-08-03 18:41:07,2022-08-03 19:51:10,0 days 01:10:03
293,2022-08-05 22:17:07,2022-08-06 00:10:40,0 days 01:53:33
294,2022-08-06 01:02:44,2022-08-06 01:26:47,0 days 00:24:03
295,2022-08-09 16:30:11,2022-08-09 16:51:55,0 days 00:21:44
296,2022-08-10 19:45:56,2022-08-10 20:30:07,0 days 00:44:11
297,2022-08-10 22:20:09,2022-08-11 01:00:59,0 days 02:40:50
298,2022-08-11 23:09:55,2022-08-12 02:01:13,0 days 02:51:18
299,2022-08-12 23:26:46,2022-08-13 02:09:51,0 days 02:43:05
300,2022-08-13 22:27:57,2022-08-14 02:22:12,0 days 03:54:15
301,2022-08-14 16:37:36,2022-08-15 00:25:21,0 days 07:47:45
302,2022-08-15 22:18:06,2022-08-16 01:40:04,0 days 03:21:58
303,2022-08-21 17:49:54,2022-08-21 19:35:11,0 days 01:45:17
304,2022-08-21 19:37:18,2022-08-21 19:55:11,0 days 00:17:53
305,2022-08-22 20:44:48,2022-08-22 23:08:01,0 days 02:23:13
306,2022-08-23 21:00:47,2022-08-24 01:27:32,0 days 04:26:45
307,2022-08-24 21:15:31,2022-08-25 01:13:16,0 days 03:57:45
308,2022-08-25 16:42:06,2022-08-25 17:00:15,0 days 00:18:09
309,2022-08-25 18:56:11,2022-08-26 00:29:34,0 days 05:33:23
310,2022-08-26 16:24:57,2022-08-26 17:07:03,0 days 00:42:06
311,2022-08-26 18:25:27,2022-08-26 19:03:08,0 days 00:37:41
312,2022-08-26 19:05:13,2022-08-26 21:53:44,0 days 02:48:31
313,2022-08-27 15:53:28,2022-08-28 00:20:45,0 days 08:27:17
314,2022-08-29 18:13:20,2022-08-29 20:40:50,0 days 02:27:30
315,2022-08-29 21:11:57,2022-08-30 01:09:25,0 days 03:57:28
316,2022-08-30 21:05:22,2022-08-31 01:39:27,0 days 04:34:05
317,2022-08-31 17:36:12,2022-09-01 00:55:11,0 days 07:18:59
318,2022-09-01 17:35:07,2022-09-02 01:05:21,0 days 07:30:14
319,2022-09-02 16:57:03,2022-09-02 18:11:47,0 days 01:14:44
320,2022-09-02 23:28:37,2022-09-03 00:42:20,0 days 01:13:43
321,2022-09-03 17:52:53,2022-09-03 20:22:07,0 days 02:29:14
322,2022-09-08 11:43:50,2022-09-08 11:46:26,0 days 00:02:36
323,2022-09-08 11:46:36,2022-09-08 18:33:09,0 days 06:46:33
324,2022-09-08 18:45:15,2022-09-08 23:48:44,0 days 05:03:29
325,2022-09-09 00:09:27,2022-09-09 02:00:15,0 days 01:50:48
326,2022-09-09 15:05:02,2022-09-09 16:45:12,0 days 01:40:10
327,2022-09-09 17:47:47,2022-09-09 22:33:28,0 days 04:45:41
328,2022-09-10 16:23:54,2022-09-10 19:21:16,0 days 02:57:22
329,2022-09-10 21:41:09,2022-09-11 01:08:18,0 days 03:27:09
330,2022-09-11 14:39:50,2022-09-12 01:42:57,0 days 11:03:07
331,2022-09-12 13:56:12,2022-09-12 18:56:54,0 days 05:00:42
332,2022-09-12 21:47:44,2022-09-12 22:41:19,0 days 00:53:35
333,2022-09-15 16:52:46,2022-09-15 17:10:59,0 days 00:18:13
334,2022-09-15 17:34:45,2022-09-15 18:25:19,0 days 00:50:34
335,2022-09-15 20:42:34,2022-09-15 23:22:55,0 days 02:40:21
336,2022-09-16 18:31:35,2022-09-16 21:14:47,0 days 02:43:12
337,2022-09-17 15:44:59,2022-09-18 02:34:43,0 days 10:49:44
338,2022-09-18 15:21:12,2022-09-19 01:11:43,0 days 09:50:31
339,2022-09-20 16:20:35,2022-09-20 19:30:38,0 days 03:10:03
340,2022-09-22 18:27:28,2022-09-23 00:22:32,0 days 05:55:04
341,2022-09-24 18:03:57,2022-09-24 22:00:12,0 days 03:56:15
342,2022-09-26 00:43:22,2022-09-26 03:13:25,0 days 02:30:03
343,2022-09-26 15:07:00,2022-09-27 02:39:11,0 days 11:32:11
344,2022-09-27 16:22:21,2022-09-27 20:20:27,0 days 03:58:06
345,2022-09-29 18:50:49,2022-09-29 18:56:45,0 days 00:05:56
346,2022-09-29 23:02:02,2022-09-29 23:55:37,0 days 00:53:35
347,2022-09-30 18:52:52,2022-09-30 21:04:01,0 days 02:11:09
348,2022-09-30 21:17:19,2022-09-30 22:14:33,0 days 00:57:14
349,2022-09-30 22:26:03,2022-10-01 03:06:18,0 days 04:40:15
350,2022-10-01 15:00:47,2022-10-01 16:30:25,0 days 01:29:38
351,2022-10-01 18:10:12,2022-10-01 19:04:07,0 days 00:53:55
352,2022-10-01 19:09:05,2022-10-02 02:58:11,0 days 07:49:06
353,2022-10-02 16:15:31,2022-10-02 22:20:17,0 days 06:04:46
354,2022-10-06 21:47:16,2022-10-07 02:27:10,0 days 04:39:54
355,2022-10-07 16:00:29,2022-10-08 02:23:26,0 days 10:22:57
356,2022-10-11 22:05:05,2022-10-12 02:32:16,0 days 04:27:11
357,2022-10-12 11:45:18,2022-10-12 12:08:28,0 days 00:23:10
358,2022-10-12 15:56:14,2022-10-12 16:06:50,0 days 00:10:36
359,2022-10-16 18:23:19,2022-10-17 01:46:21,0 days 07:23:02
360,2022-10-17 23:27:31,2022-10-17 23:46:58,0 days 00:19:27
